query_id,query,type,source,gold_doc,gold_sec,n_retrieved,recall@1,recall@3,recall@5,recall@10,mrr@10,ndcg@10
852703f0-8373-43a2-a18a-eb5908ad0779,What are the challenges in estimating output impedance in inverter-based grids?,abstractive,text-image,2410.14077v2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
947fbbd3-465b-48ad-bc13-068dd830b215,How are expectations calculated in the narrative framework?,abstractive,text,2412.15239v2,6,8,1.0,1.0,1.0,1.0,1.0,1.0
3efaa379-dc4f-46bd-9f32-b0e08d1b6d37,Why is non-Gaussianity important for identifying shocks in nonlinear SVAR models?,abstractive,text,2404.19707v4,1,8,1.0,1.0,1.0,1.0,1.0,1.0
dcb59b54-b8ea-46df-a604-d2ed473cd0a9,What is the significance of pro-cdh descent in derived schemes?,abstractive,text,2407.04378v2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
1f8c09da-5118-4b6f-bcd7-d2f601d7c2d7,How has differential item functioning (DIF) analysis evolved in recent years?,abstractive,text,2408.13702v3,1,8,1.0,1.0,1.0,1.0,1.0,1.0
7681392c-253c-499d-87f2-d05474f40bc4,Does Open AI emphasize virtual processes over in-person engagement for scalability?,extractive,text,2407.11613v2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
dd1772ea-0e31-4981-b7f0-93e544a8cd89,What is the difference in matching efficiency between private and public job search platforms?,abstractive,text,2410.17011v3,9,8,1.0,1.0,1.0,1.0,1.0,1.0
64926bbe-8018-4885-ba53-d50cce853f3e,What improvements does the XLSR-Mamba model offer over other systems on ASVspoof datasets?,abstractive,text-image,2411.10027v2,1,8,0.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222
3d837100-21ff-4c15-84ea-b18828749b99,Why might complex moments be relevant despite not being commonly used in econometrics?,abstractive,text,2410.23587v3,1,8,1.0,1.0,1.0,1.0,1.0,1.0
60034fc3-7af5-4b0b-ac4b-0003c36fbcbc,What are the key components for controlling emotions in text-to-speech systems?,abstractive,text,2409.16681v2,10,8,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
04f06b6e-7ad7-431c-8353-d218d39daa85,What is the impact of varying exposure surfaces on data variability in statistical models?,abstractive,text-image,2403.05373v2,26,8,1.0,1.0,1.0,1.0,1.0,1.0
29de4093-a8ca-48d3-b877-2a4a98800f90,What is the difference between worker-side and vacancy-side matching probabilities on Japanese job platforms?,abstractive,text-image,2410.17011v3,4,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
4e41b706-f97d-4616-80a3-a2f00b1f9599,How does scaling law relate to protein language modeling experiments?,abstractive,text-image,2411.08909v3,40,8,0.0,0.0,0.0,0.0,0.0,0.0
e5ba22c5-86c7-423f-9ae8-fc19fa620cfd,What role do Bayesian models play in mitigating bias from spatial confounding?,abstractive,text,2403.05373v2,3,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
5a7c808e-37ea-4d03-9c94-efc71c950d7e,Does analyzing GTA problems require biomedical knowledge?,extractive,text,2406.15341v3,25,8,1.0,1.0,1.0,1.0,1.0,1.0
de261def-2005-4f68-90cb-fc51b65ef12d,Does the probabilistic counter use more than $\mathcal{O}(1)$ bits to detect if it has exceeded a threshold?,extractive,text,2402.13385v2,31,8,1.0,1.0,1.0,1.0,1.0,1.0
f177c5ff-7f57-4ded-90b2-d1433bf93ead,Why is it important to determine the maximum value points in Gaussian function analysis?,abstractive,text-image,2411.11402v4,13,8,1.0,1.0,1.0,1.0,1.0,1.0
84bcb1a2-aa7b-4a93-8633-15793fdec09d,What role does alpha play in determining cost reductions within extended MRP models during periods of temporary overbooking?,abstractive,text-table,2403.11010v3,27,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
afe36247-d8dd-402f-8bfc-90fc0b6f3e8c,"Which molecule has a higher reward score, aripiprazole or celecoxib?",extractive,text-table,2405.01155v3,14,8,1.0,1.0,1.0,1.0,1.0,1.0
2636d681-f4d6-4514-a0a2-187fe1058194,How does complex integration help in solving differential equations?,abstractive,text-image,2411.11402v4,6,8,0.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333
4a225574-06a5-48e1-85eb-ab911da819d5,What are the implications of the absence of massive activations in LC-PLM?,abstractive,text,2411.08909v3,35,8,1.0,1.0,1.0,1.0,1.0,1.0
e088013f-2c75-42a1-b2b7-43c871e82340,Is actual story text used alongside other features to predict user engagement metrics?,extractive,text,2412.15239v2,7,8,1.0,1.0,1.0,1.0,1.0,1.0
70fd72f5-f7e0-4a76-b1b4-5f71e3554cb6,What factors might contribute to declining job-worker finding rates in Japanese employment markets?,abstractive,text-image,2410.17011v3,4,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
443070a7-ef46-4508-bc5b-04299ae51cc4,What is the purpose of the penalization term in the penalized sum of squares function?,abstractive,text,2404.19707v4,25,8,1.0,1.0,1.0,1.0,1.0,1.0
d639debd-b486-4fd2-a555-45f39a35cedf,How does discarding q-axis dynamics affect noise reduction in power networks?,abstractive,text-table-image,2410.14077v2,9,8,1.0,1.0,1.0,1.0,1.0,1.0
48c71b08-847e-412c-a516-c529c60b475f,Does the selection of different spectral diffusion regularization factors show significant differences in correlation or linear regression to truth?,extractive,text,2408.06427v2,14,8,1.0,1.0,1.0,1.0,1.0,1.0
a35e43db-c0a5-4274-9f11-99ef9c5fdba4,In what ways does the training approach of LMFold differ from traditional methods that use multiple sequence alignments (MSA)?,abstractive,text-table,2411.08909v3,13,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
f1c03004-90e6-43fb-938c-912ce7ce8fde,Can diffusion models be used to generate more samples from a distribution?,extractive,text,2404.18869v2,10,8,1.0,1.0,1.0,1.0,1.0,1.0
efe5d614-9733-4ed3-84ef-2c696c458822,Is there a single project that leads to successful innovation if examined?,extractive,text,2412.03227v2,2,8,1.0,1.0,1.0,1.0,1.0,1.0
726a887e-a42e-4b5b-9a14-791dc9bd8419,What is the role of neural operators in MRI reconstruction?,abstractive,text-image,2410.16290v4,5,8,1.0,1.0,1.0,1.0,1.0,1.0
578452f3-94f0-41cf-a58a-628e12bc50e2,How does rising demand uncertainty affect the placement of safety stock in the supply chain?,abstractive,text,2403.11010v3,5,8,1.0,1.0,1.0,1.0,1.0,1.0
3856fb1b-e988-4da7-8b38-038f495a3bdc,Is there a significant enhancement in collective heat current at a parasitic bath temperature of 50 mK compared to independent scenarios?,extractive,text-table-image,2401.17469v2,6,8,1.0,1.0,1.0,1.0,1.0,1.0
5ab73cfa-dc79-42d1-97f0-d9a4789358a0,Does every voter participate in each round of voting?,extractive,text,2410.20476v2,4,8,1.0,1.0,1.0,1.0,1.0,1.0
dd3445d0-e0cd-40ea-a060-2310bda1e6d9,"What does the expression \(|x|^r = (-x)^r = \frac{\Gamma(r+1)}{2 \pi}\int_{-\infty}^{+\infty}\frac{e^{-zx}}{z^{r+1}}\mathrm{~d}t, x<0\) represent?",extractive,text,2410.23587v3,10,8,1.0,1.0,1.0,1.0,1.0,1.0
c1070c8a-180d-451c-9506-aed2dc117ecf,Is a second-order Taylor expansion needed to analyze the error of Taylor's expansion for ATM curvature?,extractive,text,2401.03776v8,13,8,1.0,1.0,1.0,1.0,1.0,1.0
337aeef5-3269-4ba3-b4db-014e98bb65f5,What is the relationship between nitrogen oxides and tropospheric ozone in environmental studies?,abstractive,text-image,2403.05373v2,12,8,1.0,1.0,1.0,1.0,1.0,1.0
51002b0c-79ad-47f0-bcce-efe0f13591e7,What role do BiMambas play in the performance of spoofing detection systems?,abstractive,text-table-image,2411.10027v2,8,8,1.0,1.0,1.0,1.0,1.0,1.0
f5f5c9da-cb06-464a-ab35-54169b842463,Does the GenoTEX dataset include personally identifiable information?,extractive,text,2406.15341v3,21,8,1.0,1.0,1.0,1.0,1.0,1.0
dbf52b1e-35fa-4560-b326-57be912c3917,What replaces transpose convolutions in the UDNO network architecture?,extractive,text,2410.16290v4,17,8,1.0,1.0,1.0,1.0,1.0,1.0
2b65ac50-7ef6-454f-a4ee-0e3821acf3d9,Does the function obtained through the Fourier transform coincide with the solution to the differential equation over all real numbers?,extractive,text,2411.11402v4,3,8,1.0,1.0,1.0,1.0,1.0,1.0
181adc75-e279-4ebc-a137-e84b4e923fb2,What limitations exist regarding achieving sub-linear dynamic regret?,abstractive,text,2406.05714v3,0,8,1.0,1.0,1.0,1.0,1.0,1.0
c25755b8-ac71-4b46-ba66-33b87cbfd3eb,What are Generalized Impulse Response Functions used for in economic models?,abstractive,text-image,2404.19707v4,14,8,1.0,1.0,1.0,1.0,1.0,1.0
f6158d58-e4b7-40c8-b4aa-66c7f7827175,What does greater fibrosis indicate in terms of tissue parenchyma flow?,abstractive,text,2408.06427v2,16,8,1.0,1.0,1.0,1.0,1.0,1.0
2edf284b-1689-4dc7-89d0-321935d60f18,What role does channel estimation play in enhancing the performance of smart applications in 6G networks?,abstractive,text,2407.07009v2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
72c9887e-79b4-404f-a8da-5868c6e03b71,How does local awareness affect the infection probability in a network model?,abstractive,text-table,2406.09983v2,12,8,1.0,1.0,1.0,1.0,1.0,1.0
275da026-2aca-46c2-a744-bf00e061c9bb,Is there evidence of high-frequency operations related to strategy gaming in the Sarafu network?,extractive,text,2409.13674v3,9,8,1.0,1.0,1.0,1.0,1.0,1.0
c0cbca63-9e4a-4501-87dd-64d11572b148,Does constructing optimal μ-self-concordant barriers remain an open problem for any specific case?,extractive,text,2406.05714v3,13,8,1.0,1.0,1.0,1.0,1.0,1.0
a55c5047-a084-498c-8c79-7ce41a9c186a,How does the idea of adjustable search intensity challenge traditional views on when to stop research efforts?,abstractive,text,2412.03227v2,4,8,1.0,1.0,1.0,1.0,1.0,1.0
63f79c6a-1e48-4869-a67c-441dcb7a8eeb,What is the importance of measurement equivalence in health outcome evaluations?,abstractive,text,2408.13702v3,1,8,1.0,1.0,1.0,1.0,1.0,1.0
4dee6765-fe77-4876-9d6e-d6ec21fafbd3,How do commutative diagrams assist in proving properties of scheme modifications?,abstractive,text-image,2407.04378v2,4,8,1.0,1.0,1.0,1.0,1.0,1.0
37d77866-74fb-4033-bd4d-ed31e3752571,What are pinching-antenna systems and how do they enhance wireless communication?,abstractive,text,2412.13892v2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
6983797e-5667-4f1f-84ff-2c0480acd36b,Are dagTin components associated with users collecting Sarafu from fake accounts?,extractive,text,2409.13674v3,7,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
ee6edc7c-52ef-499f-be13-6cc7373369c9,"What percentage of users come from treated areas like Kinango, Mukuru kwa Njenga slum, and Kisauni?",extractive,text,2409.13674v3,4,8,1.0,1.0,1.0,1.0,1.0,1.0
6d320467-4857-42ea-9d69-5271da9f0598,What challenges do classroom environments pose for automatic speech recognition systems?,abstractive,text,2409.14494v3,0,8,0.0,1.0,1.0,1.0,0.3333333333333333,0.5
e49fdf65-0c99-4122-a586-2839a81b2920,How do audience expectations influence engagement with stories?,abstractive,text,2412.15239v2,0,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
623b6ce0-745d-45b2-813a-243849a04d39,What is the relationship between denoising loss and KL divergence in Gaussian distributions?,abstractive,text,2410.10516v3,31,8,1.0,1.0,1.0,1.0,1.0,1.0
1cbc50c6-69e9-4f6f-ac02-b5b6213227ad,How do AutoStep and fixed step methods compare in terms of jump distance versus initial step size?,abstractive,text-image,2410.18929v2,25,8,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
99b906aa-4a0a-4e80-a819-af844081a5da,What happens to the solution of the DDE when \( a \rightarrow \infty \)?,extractive,text,2411.11402v4,12,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
d1f70dd0-f0cc-437c-adad-f79c067b98d0,What does a detailed analysis of ECS values reveal about behavioral epidemiology research directions?,abstractive,text-image,2406.09983v2,5,8,1.0,1.0,1.0,1.0,1.0,1.0
020eb8fc-894c-485e-b2d9-099a42a02552,What is the purpose of the multilevel binary LR model?,abstractive,text,2408.13702v3,4,8,1.0,1.0,1.0,1.0,1.0,1.0
d79e4409-b566-4bd8-9375-7f92661cda07,What is a warm start in the context of Gaussian mixtures?,extractive,text,2404.18869v2,23,8,1.0,1.0,1.0,1.0,1.0,1.0
6f441cc1-412c-44ae-aee6-c88cde6614f3,What happens to outgoing transitions from the final state in an rDFA for a suffix-free language?,extractive,text,2402.13385v2,32,8,1.0,1.0,1.0,1.0,1.0,1.0
9ff78b2c-0431-4dab-a391-2b442578faf4,How does the modified algorithm output core-periphery proportions?,abstractive,text,2409.06994v3,7,8,1.0,1.0,1.0,1.0,1.0,1.0
404acb21-fc8e-47ba-a419-a32c25a59611,What are the cost implications of underestimating versus overestimating demand forecasts in MRP systems?,abstractive,text,2403.11010v3,0,8,1.0,1.0,1.0,1.0,1.0,1.0
dcec6f3c-d98b-4ed5-b56f-f944f4428198,Is MRP a commonly used planning method for production systems?,extractive,text,2403.11010v3,4,8,1.0,1.0,1.0,1.0,1.0,1.0
20348dc2-ba02-4b35-a240-cfcb1175ebe6,How does backward scheduling work in a multi-stage production system?,abstractive,text-image,2403.11010v3,12,8,1.0,1.0,1.0,1.0,1.0,1.0
abda7c73-dc7b-4984-b50c-7595ff84a123,How does increasing nonlinearity and drive amplitude affect a squeeze-driven Kerr oscillator system?,abstractive,text,2408.00934v2,1,8,0.0,0.0,0.0,0.0,0.0,0.0
3bf50a20-f201-4cf0-ae09-84ba1fdc7304,How can likelihood-based approaches be used in parameter estimation for differential equation models?,abstractive,text,2405.08177v5,0,8,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
12fe76c1-fb84-4ac7-9229-a3f2351b9a39,Why might uniformity in an integrand be advantageous for evaluating distribution moments?,abstractive,text-image,2410.23587v3,15,8,1.0,1.0,1.0,1.0,1.0,1.0
1a5ed0aa-16e4-40a7-a9b9-b10f8e798108,Which cluster shows a significant drop in bike rides during weekends?,extractive,text-image,2407.13314v3,19,8,1.0,1.0,1.0,1.0,1.0,1.0
3445dc5c-da71-4787-a2ec-754b5655a753,What is the purpose of knowledge distillation in machine learning?,abstractive,text,2411.07483v2,0,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
a994924e-3a3c-4b8d-835f-7538f091b4c9,Do LLMs generate only one potential story continuation?,extractive,text,2412.15239v2,5,8,1.0,1.0,1.0,1.0,1.0,1.0
377c1cd5-f3a6-425e-8bc1-a1b24d0a93da,How does immune system activation affect tissue damage during viral infections?,abstractive,text-image,2408.07618v3,7,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
9580a29c-3a13-47d7-80c7-1ba432bd5bef,How does Bayesian updating affect research strategies in innovation models?,abstractive,text,2412.03227v2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
f0105fa8-9dab-49a8-be58-8b80fcff1e82,Is there a formula for differentiating posterior expectations with respect to \( y_i \)?,extractive,text,2404.18869v2,14,8,1.0,1.0,1.0,1.0,1.0,1.0
7497c558-2ab4-49f1-8d08-ea7f19be6437,What steps are involved in using LLMs to model consumer engagement with stories?,abstractive,text-image,2412.15239v2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
99942256-10b1-4438-8601-a93975c47b27,How does the number of qubits influence superradiant heat current enhancement?,abstractive,text-image,2401.17469v2,5,8,0.0,0.0,0.0,1.0,0.125,0.31546487678572877
f539de1c-09d3-48cd-92a0-0556adb713a2,What does finite differencing do to the degree of a polynomial?,extractive,text,2404.18869v2,16,8,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
a763e035-7069-4b5b-a86f-deee9d80adb1,What practical applications do the new moment expressions have in dynamic financial models?,abstractive,text,2410.23587v3,1,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
8b29750f-d1a2-4fcb-be32-d1b88f953c69,"What is the approximate energy value for the emotion ""Anxious""?",extractive,text-table-image,2409.16681v2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
d70ab711-e77b-4390-8cb5-cefc03cc1048,How effective is the model in classifying different microbiome habitats based on gene interactions?,abstractive,text-table-image,2405.05998v3,3,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
bdf4661c-1278-4a7e-b8da-9cc92570ad2c,Does the clustering matrix depend on exact community labels?,extractive,text,2409.06994v3,3,8,1.0,1.0,1.0,1.0,1.0,1.0
b33d2194-fc5c-4c5d-a183-26f168789e75,What is the contextual continuum bandits problem?,abstractive,text,2406.05714v3,0,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
dc1ee820-c59e-41e8-a26b-72b925e3f79b,What does increasing resolution in $\mathbf{k}$ space do to the field of view in the reconstructed image?,abstractive,text,2410.16290v4,6,8,1.0,1.0,1.0,1.0,1.0,1.0
446a0d54-ad16-4cda-a2e5-12607507960d,What are the key concepts involved in modifications of derived schemes?,abstractive,text-image,2407.04378v2,4,8,1.0,1.0,1.0,1.0,1.0,1.0
c9fb8e63-6f77-4ddf-8769-fb091c667446,How does Wav2vec2.0 improve speech recognition in noisy classroom settings?,abstractive,text,2409.14494v3,1,8,1.0,1.0,1.0,1.0,1.0,1.0
c818686a-2895-4391-9600-8bddf92e9ea2,"Do emotions like 'Sad' and 'Neutral' exhibit higher values of pitch, energy, and spectral flux?",extractive,text,2409.16681v2,8,8,1.0,1.0,1.0,1.0,1.0,1.0
1245762a-3b24-4fa2-ab8c-5686aa68f538,Does chaos affect cat states in a Kerr parametric oscillator?,extractive,text,2408.00934v2,0,8,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
aa2f1128-db21-4c84-ad33-51ad3eabb7d0,How does elasticity with respect to vacancies change for employment platforms from 2014 to 2024?,abstractive,text-image,2410.17011v3,7,8,1.0,1.0,1.0,1.0,1.0,1.0
70edfe4a-61b2-4c59-80a7-a6c3efd0cbc2,What role does temperature play in enhancing collective heat currents using transmon qubits?,abstractive,text-table-image,2401.17469v2,6,8,1.0,1.0,1.0,1.0,1.0,1.0
b15bcf25-1fcd-4745-81d3-1db3e2caef63,What is the main advantage of the PACE algorithm in community detection?,abstractive,text,2409.06994v3,4,8,0.0,1.0,1.0,1.0,0.3333333333333333,0.5
2d25d3ca-2ecb-44c1-adc9-e090bb187824,What is the purpose of using a variable direction forgetting recursive-least-square algorithm in power networks?,abstractive,text-table-image,2410.14077v2,8,8,0.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333
817a7bd6-fad8-4256-86f0-e2bb87d1b3fe,Does the identification method impose restrictions on the impact responses of variables?,extractive,text,2404.19707v4,7,8,1.0,1.0,1.0,1.0,1.0,1.0
94a3e68c-cd85-4181-a187-cbf76f11fd58,Does coin or phase disorder enhance single-particle entanglement at specific time steps?,extractive,text,2410.12710v2,4,8,0.0,0.0,0.0,0.0,0.0,0.0
a528047e-326a-4044-a0ee-344d950f938e,What is the Voting with Random Proposers (VRP) procedure?,extractive,text,2410.20476v2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
01063042-ba62-4c90-8cb6-9ac5df7adb2a,What are the four main concepts defined by XAI?,extractive,text,2407.07009v2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
ee06e7f2-5dc4-4db0-8b48-04842b11cbca,What happens to Floquet states as control parameter $\Gamma$ increases?,abstractive,text-image,2408.00934v2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
7c70ff6e-64dc-4c2c-991b-691c77983af5,Is an eGFR less than 45 ml/min/1.73 m² considered impaired kidney function?,extractive,text,2408.06427v2,9,8,1.0,1.0,1.0,1.0,1.0,1.0
